StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,MOBILITY_CrudePrev	,SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,LONELINESS_CrudePrev,FOODSTAMP_CrudePrev,FOODINSECU_CrudePrev,HOUSINSECU_CrudePrev,SHUTUTILITY_CrudePrev,LACKTRPT_CrudePrev,EMOTIONSPT_CrudePrev,ACCESS2_CrudePrev_Cases,ARTHRITIS_CrudePrev_Cases,BINGE_CrudePrev_Cases,BPHIGH_CrudePrev_Cases,BPMED_CrudePrev_Cases,CANCER_CrudePrev_Cases,CASTHMA_CrudePrev_Cases,CHD_CrudePrev_Cases,CHECKUP_CrudePrev_Cases,CHOLSCREEN_CrudePrev_Cases,COLON_SCREEN_CrudePrev_Cases,COPD_CrudePrev_Cases,CSMOKING_CrudePrev_Cases,DENTAL_CrudePrev_Cases,DEPRESSION_CrudePrev_Cases,DIABETES_CrudePrev_Cases,GHLTH_CrudePrev_Cases,HIGHCHOL_CrudePrev_Cases,LPA_CrudePrev_Cases,MAMMOUSE_CrudePrev_Cases,MHLTH_CrudePrev_Cases,OBESITY_CrudePrev_Cases,PHLTH_CrudePrev_Cases,SLEEP_CrudePrev_Cases,STROKE_CrudePrev_Cases,TEETHLOST_CrudePrev_Cases,HEARING_CrudePrev_Cases,VISION_CrudePrev_Cases,COGNITION_CrudePrev_Cases,SELFCARE_CrudePrev_Cases,INDEPLIVE_CrudePrev_Cases,DISABILITY_CrudePrev_Cases,LONELINESS_CrudePrev_Cases,FOODSTAMP_CrudePrev_Cases,FOODINSECU_CrudePrev_Cases,HOUSINSECU_CrudePrev_Cases,SHUTUTILITY_CrudePrev_Cases,LACKTRPT_CrudePrev_Cases,EMOTIONSPT_CrudePrev_Cases,physicians_total,psychiatrists,cardiologists,general_internal_med,beds_total,beds_acute,beds_icu,MedianIncome,physicians_per10k,general_internal_med_per10k,cardiologists_per10k,psych_per10k,beds_per10k,beds_acute_per10k,beds_icu_per10k,pop_quintile,diabetes_supply_group,chd_supply_group,depression_supply_group
ID,Idaho,Adams,16003,4379,3619.0,9.2567,36.3084,12.3515,41.1716,78.5576,11.6883,10.9146,9.837,77.9497,85.4656,65.9022,10.2791,14.562,65.9851,21.8292,14.0647,21.3871,38.7952,27.9083,65.1561,14.9212,34.5399,16.5239,29.953,4.9185,14.8936,13.2633,6.0514,15.5292,39.4,4.9185,9.4225,39.0716,26.3609,10.1133,12.6831,9.0909,6.604,7.1843,18.6792,335.0,1314.0,447.0,1490.0,2843.0,423.0,395.0,356.0,2821.0,3093.0,2385.0,372.0,527.0,2388.0,790.0,509.0,774.0,1404.0,1010.0,2358.0,540.0,1250.0,598.0,1084.0,178.0,539.0,480.0,219.0,562.0,178.0,341.0,1414.0,954.0,366.0,459.0,329.0,239.0,260.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,No Providers,No Providers,No Providers
ID,Idaho,Bannock,16005,87018,64357.0,10.1217,25.9164,14.8935,31.1963,70.4508,7.7272,11.4207,6.0335,74.3089,78.5742,62.2139,6.8633,13.2791,64.8368,25.3337,9.8233,19.0904,32.0385,22.2167,70.6263,17.375,33.1262,14.4848,35.9976,3.2133,15.6082,9.5297,5.1339,17.2351,366.0,3.7106,8.9439,37.4676,31.6189,11.0244,15.3643,11.5294,8.0271,8.7061,20.6831,6514.0,16679.0,9585.0,20077.0,45340.0,4973.0,7350.0,3883.0,47823.0,50568.0,40039.0,4417.0,8546.0,41727.0,16304.0,6322.0,12286.0,20619.0,14298.0,45453.0,11182.0,21319.0,9322.0,23167.0,2068.0,10045.0,6133.0,3304.0,11092.0,2388.0,5756.0,24113.0,20349.0,7095.0,9888.0,7420.0,5166.0,5603.0,13311.0,161.0,3.0,4.0,5.0,178.0,178.0,0.0,64080,25.01670369967525,0.7769162639650699,0.621533011172056,0.46614975837904193,27.658218997156485,27.658218997156485,0.0,Large,Very Low,Medium,Low
ID,Idaho,Bear Lake,16007,6372,4630.0,9.1577,30.5616,13.3477,34.73,75.3348,10.0,10.8855,7.8618,75.2916,82.4622,63.5205,8.2721,13.5421,65.5508,22.311,11.7279,18.9201,36.2635,24.7516,70.4536,15.8963,31.2527,15.1404,32.9374,3.9957,17.365,11.1879,5.1404,16.0259,34.0,4.0173,8.8985,36.4795,27.7754,9.0281,12.3974,9.5896,6.5443,7.041,19.2009,424.0,1415.0,618.0,1608.0,3488.0,463.0,504.0,364.0,3486.0,3818.0,2941.0,383.0,627.0,3035.0,1033.0,543.0,876.0,1679.0,1146.0,3262.0,736.0,1447.0,701.0,1525.0,185.0,804.0,518.0,238.0,742.0,186.0,412.0,1689.0,1286.0,418.0,574.0,444.0,303.0,326.0,889.0,5.0,0.0,0.0,0.0,57.0,57.0,0.0,67304,10.799136069114471,0.0,0.0,0.0,123.11015118790496,123.11015118790496,0.0,Very Small,No Providers,No Providers,No Providers
ID,Idaho,Benewah,16009,9530,7429.0,10.9436,34.5942,13.1108,39.0901,76.7533,10.3917,11.8993,9.5437,75.9052,81.9491,61.4484,10.8494,16.9471,60.4927,22.4526,14.1069,24.0544,37.9055,29.9906,66.3616,16.651,36.4517,17.5528,34.2038,5.0478,19.5046,13.3531,7.04,17.9028,42.9,5.4516,11.0513,42.6033,28.9541,13.0031,16.9875,11.8993,8.1976,9.1937,20.7565,813.0,2570.0,974.0,2904.0,5702.0,772.0,884.0,709.0,5639.0,6088.0,4565.0,806.0,1259.0,4494.0,1668.0,1048.0,1787.0,2816.0,2228.0,4930.0,1237.0,2708.0,1304.0,2541.0,375.0,1449.0,992.0,523.0,1330.0,405.0,821.0,3165.0,2151.0,966.0,1262.0,884.0,609.0,683.0,1542.0,9.0,1.0,0.0,0.0,19.0,19.0,0.0,56553,12.114685691210124,0.0,0.0,1.3460761879122358,25.575447570332482,25.575447570332482,0.0,Small,No Providers,No Providers,High
ID,Idaho,Bingham,16011,47992,33315.0,12.6129,27.7893,13.6695,33.5885,71.1331,7.9063,11.2172,6.6877,73.8826,79.5918,58.9794,7.4411,14.558,63.8481,23.1307,11.6254,20.5523,32.6069,25.0428,66.4806,17.1875,39.4447,15.0893,34.1168,3.569,16.1429,10.0765,5.8742,17.6977,166.1,4.2053,9.2361,38.9914,30.5418,11.7064,16.6231,13.0692,8.5067,9.146,21.3177,4202.0,9258.0,4554.0,11190.0,23698.0,2634.0,3737.0,2228.0,24614.0,26516.0,19649.0,2479.0,4850.0,21271.0,7706.0,3873.0,6847.0,10863.0,8343.0,22148.0,5726.0,13141.0,5027.0,11366.0,1189.0,5378.0,3357.0,1957.0,5896.0,1401.0,3077.0,12990.0,10175.0,3900.0,5538.0,4354.0,2834.0,3047.0,7102.0,24.0,1.0,2.0,0.0,228.0,85.0,0.0,76842,7.203962179198559,0.0,0.6003301815998799,0.30016509079993997,68.43764070238632,25.514032717994898,0.0,Large,No Providers,Medium,Very Low
ID,Idaho,Blaine,16013,24272,19152.0,10.166,26.6917,14.4528,30.6339,74.2533,9.7953,10.0616,6.4223,76.0808,85.5733,67.3037,6.203,10.0198,71.0579,19.1207,9.9833,15.8051,35.0773,19.8413,74.2116,13.2467,23.2195,12.7193,27.6942,3.2843,9.6857,9.2419,4.3599,12.9908,114.0,3.279,6.7356,30.2997,25.7519,6.6155,10.5472,8.8346,5.4198,5.9419,18.3584,1947.0,5112.0,2768.0,5867.0,14221.0,1876.0,1927.0,1230.0,14571.0,16389.0,12890.0,1188.0,1919.0,13609.0,3662.0,1912.0,3027.0,6718.0,3800.0,14213.0,2537.0,4447.0,2436.0,5304.0,629.0,1855.0,1770.0,835.0,2488.0,628.0,1290.0,5803.0,4932.0,1267.0,2020.0,1692.0,1038.0,1138.0,3516.0,60.0,1.0,1.0,6.0,25.0,25.0,0.0,84470,31.32832080200501,3.132832080200501,0.5221386800334169,0.5221386800334169,13.053467000835422,13.053467000835422,0.0,Medium,High,Medium,Low
ID,Idaho,Boise,16015,7610,6356.0,7.4733,33.9364,13.4204,38.1529,76.0699,11.2649,10.7615,8.0239,78.0208,87.0359,67.4481,7.898,12.146,68.0459,21.7275,12.1775,17.8257,39.3958,22.467,67.4166,13.7665,32.5834,14.5689,31.2933,3.9962,12.0359,11.0289,4.6413,13.7823,50.3,3.8704,7.6463,35.1794,26.3373,6.7495,9.9748,7.9295,5.365,5.8842,18.9899,475.0,2157.0,853.0,2425.0,4835.0,716.0,684.0,510.0,4959.0,5532.0,4287.0,502.0,772.0,4325.0,1381.0,774.0,1133.0,2504.0,1428.0,4285.0,875.0,2071.0,926.0,1989.0,254.0,765.0,701.0,295.0,876.0,246.0,486.0,2236.0,1674.0,429.0,634.0,504.0,341.0,374.0,1207.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77349,1.5733165512901197,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,No Providers,No Providers,No Providers
ID,Idaho,Bonner,16017,47110,37908.0,8.6024,31.9642,13.6488,37.0924,75.6621,11.0109,10.9396,8.423,75.8362,84.6761,63.6356,8.6868,13.1977,65.965,21.4968,12.0054,19.3363,37.7071,23.3143,68.1571,14.6592,32.4206,14.9757,29.0546,4.2682,15.2633,11.425,5.2997,14.9942,281.9,4.2656,8.6789,36.0003,26.3559,8.853,11.3828,8.7739,6.1043,6.798,18.5766,3261.0,12117.0,5174.0,14061.0,28682.0,4174.0,4147.0,3193.0,28748.0,32099.0,24123.0,3293.0,5003.0,25006.0,8149.0,4551.0,7330.0,14294.0,8838.0,25837.0,5557.0,12290.0,5677.0,11014.0,1618.0,5786.0,4331.0,2009.0,5684.0,1617.0,3290.0,13647.0,9991.0,3356.0,4315.0,3326.0,2314.0,2577.0,7042.0,64.0,1.0,1.0,3.0,25.0,25.0,0.0,65168,16.88297984594281,0.7913896802785692,0.2637965600928564,0.2637965600928564,6.59491400232141,6.59491400232141,0.0,Large,Very Low,Very Low,Very Low
ID,Idaho,Bonneville,16019,123964,86205.0,10.8277,25.4776,14.9956,30.0354,69.6572,7.6515,10.7929,5.7212,74.6929,80.7865,62.3375,6.2305,11.7441,67.6109,25.6041,9.5296,17.5767,32.9273,21.7412,67.4752,16.7345,33.4493,12.7255,36.0443,3.0601,13.215,8.7501,4.777,16.622,328.3,3.4731,8.1956,33.1361,29.9449,9.5076,13.2115,10.9692,6.9868,7.8139,20.0534,9334.0,21963.0,12927.0,25892.0,60048.0,6596.0,9304.0,4932.0,64389.0,69642.0,53738.0,5371.0,10124.0,58284.0,22072.0,8215.0,15152.0,28385.0,18742.0,58167.0,14426.0,28835.0,10970.0,31072.0,2638.0,11392.0,7543.0,4118.0,14329.0,2994.0,7065.0,28565.0,25814.0,8196.0,11389.0,9456.0,6023.0,6736.0,17287.0,199.0,8.0,4.0,24.0,390.0,390.0,0.0,76646,23.084507859172902,2.7840612493474857,0.46401020822458094,0.9280204164491619,45.24099530189664,45.24099530189664,0.0,Very Large,High,Low,High
ID,Idaho,Boundary,16021,12056,9249.0,11.0823,34.5983,12.8014,37.5392,77.5976,10.6498,11.2445,9.1037,76.3001,83.036,62.1256,9.9038,14.6502,62.8933,21.6131,13.1474,21.7537,37.7338,26.1434,67.0451,15.5584,33.4523,16.6937,30.8141,4.6924,17.5803,12.7041,6.2493,17.0613,40.3,4.9519,10.0011,40.9558,29.5924,10.7687,14.5097,10.3038,7.2548,7.9576,19.7319,1025.0,3200.0,1184.0,3472.0,7177.0,985.0,1040.0,842.0,7057.0,7680.0,5746.0,916.0,1355.0,5817.0,1999.0,1216.0,2012.0,3490.0,2418.0,6201.0,1439.0,3094.0,1544.0,2850.0,434.0,1626.0,1175.0,578.0,1578.0,458.0,925.0,3788.0,2737.0,996.0,1342.0,953.0,671.0,736.0,1825.0,6.0,0.0,0.0,0.0,48.0,48.0,0.0,62438,6.487187804086928,0.0,0.0,0.0,51.897502432695426,51.897502432695426,0.0,Small,No Providers,No Providers,No Providers
